Citing Journal,Cited Journal,Count
IEEE nanotechnology magazine,8,26.0
"Diagnostics (Basel, Switzerland)",9,242.0
Psychiatry and clinical psychopharmacology,10,45.0
Frontiers in neuroinformatics,11,4.0
Briefings in bioinformatics,19,8.0
Information processing in medical imaging : proceedings of the ... conference,23,14.0
"Journal of child psychology and psychiatry, and allied disciplines",30,12.0
The Journal of molecular diagnostics : JMD,36,7.0
Nature reviews. Genetics,39,4.0
"Sensors (Basel, Switzerland)",46,11.0
Human genomics,51,5.0
Frontiers in neurology,61,29.0
"Science (New York, N.Y.)",64,6.0
PLoS medicine,65,5.0
Medical image analysis,69,6.0
NeuroImage,72,6.0
Perspectives on behavior science,73,79.0
Protein science : a publication of the Protein Society,84,9.0
Frontiers in cell and developmental biology,85,9.0
Aerobiologia,86,5.0
Cancer biology & therapy,91,17.0
Genome biology,92,39.0
Nature communications,93,89.0
Molecular cancer research : MCR,100,6.0
"Bioinformatics (Oxford, England)",101,14.0
"Concussion (London, England)",103,54.0
Nature protocols,122,5.0
Cancer metastasis reviews,123,13.0
Annals of laboratory medicine,135,4.0
Molecular diagnosis & therapy,140,8.0
Journal of autism and developmental disorders,143,5.0
"Proceedings of the ACM on interactive, mobile, wearable and ubiquitous technologies",144,38.0
Asia Pacific allergy,148,18.0
Computational mechanics,153,17.0
Nature biotechnology,155,68.0
BMC bioinformatics,165,6.0
Frontiers in medicine,167,4.0
Virchows Archiv : an international journal of pathology,174,4.0
Biological psychiatry,177,10.0
Nature,187,34.0
Journal of orthopaedics,190,17.0
Nature medicine,191,42.0
Frontiers in genetics,197,7.0
Nature reviews. Neuroscience,199,5.0
Behavior research methods,202,22.0
Journal of hematology & oncology,203,15.0
EMBO molecular medicine,205,5.0
"Proceedings of the 2023 7th International Conference on Medical and Health Informatics (ICMHI 2023) : May 12-14, 2023, Kyoto, Japan. International Conference on Medical and Health Informatics (7th : 2023 : Kyoto, Japan)",213,29.0
Frontiers in digital health,219,5.0
Human brain mapping,225,15.0
"International journal of radiation oncology, biology, physics",228,6.0
Frontiers in aging neuroscience,231,16.0
GigaScience,233,5.0
"Structure (London, England : 1993)",234,4.0
Clinical cancer research : an official journal of the American Association for Cancer Research,238,15.0
