,"Bursac, Zoran","Petersen, Steven E","Hatzenbuehler, John R","Celi, Leo Anthony","Khan, Muhanmmad","Martilli, Alberto","Winter, Kathryn P","Kontos, Anthony P","Lumba-Brown, Angela","Kenway, Owain","Wallesch, C W","Furger, Robyn E","Hammeke, Thomas A","Kutcher, Jeffrey S","Mandel, Steven","Biederman, Joseph","Kutz, S","Bartels, C","Harezlak, Jaroslaw","Bruce, Jared","Sieh, Weiva","Zaiman, Zachary","Trillenberg, Peter","Randolph, Christopher","Parish, Robert V","Patricios, Jon","Helfand, Nora","Zonato, Andrea","Sulam, Jeremias","Sy, Karla Therese L","Seyyed-Kalantari, Laleh","Posthumus, Michael","Aggarwal, Seema S","Lindblad, Anne S","Murata, Nathan M","Kryskow, Elisabeth M","Lambert, Maude","Chen, Li-Ching","Wetzel, Paul A","Carney, Nancy","Ollinger, J M","Posner, Michael I","Alemzadeh, Homa","Mallott, Jacob M","Sebastianelli, Wayne","Knudsen, Eric I","Jagoda, Andy","Hoffmann, Raymond G","Veenstra, Joshua M","McCrea, Michael","Elbin, R J","Schulz, Paul E","Wang, Lixia","Sulioti, Gary","Riggio, Silvana","Traudt, Elizabeth A","Brown, M","Apps, Jennifer N","Thurman, David J","Pyrros, Ayis T","Rothstein, Joseph H","Correa, Ramon","Adeyemo, Bamidele O","Lerner, E Brooke","Spencer, Thomas J","Li, Fan","McKeag, Douglas B","Villamar, Zoe","Alosco, Michael L","Hibbard, M R","Bhimireddy, Ananth Reddy","Holahan, Matthew R","Scharer, Kyle R","Bedrick, Steven","Davis-OʼReilly, Cynthia","Ranson, Jana","McKee, Ann C","Simpson, Charles","Re, Valentina","Liebel, Spencer W","Lencer, Rebekka","Kelly, James P","Weaver, N L","Tseretopoulos, Irene D","Shen, Li","Shulman, G L","Giza, Christopher C","Motsinger-Reif, Alison A","Fedor, Andrew F","Sliwinski, M","Raizada, Hardik","Brown, G","Yang, Jingzhen","Purkayastha, Saptarshi","Siu, Andrea M","Haddad, L","Huddleston, Amy","Onate, James A","Guskiewicz, Kevin M","Huse, Dan","Getchius, Thomas S D","Ohlendorf, S","Price, Brandon J","Gauss, C Heath","Van Essen, D C","Rügamer, David","Abrahams, Shameemah","Slobounov, Elena","Fie, Sarah Mc","Kovacs, Francisco M","Olsen, Christopher M","Williams, David Keith","Dretsch, Michael N","Ahn, Hyeong Jun","Zuckerman, Scott L","Kuo, Po-Chih","Trivedi, Hari","Hides, Julie A","Zafonte, Ross","Snyder, A Z","Epstein, N","Barth, Jeffrey","Faraone, Stephen V","Corbetta, M","McCrory, Paul","Marshall, Stephen W","Zhang, Haoran","Hodgkins, Paul","Padua, D A","Reeves, Dennis L","Nettleton, Tracie","Tsushima, William T","Mukherjee, Pratik","Gronseth, Gary S","Pfister, Ken","Gordon, Wayne A","Woodworth, K Yvonne","Liu, Xue-Cheng","Hack, Dallas","Russell, Michael L","Okechukwu, Chima","Panis, Walter","Riegler, Kaitlin","Guskiewicz, Kevin","McAllister, Thomas W","Hamalainen, Timo","Gitchel, George T","Brett, Benjamin L","James, Nathan","Ott, Summer D","Xiang, Ning","Hao, Xinyu","Petersen, S E","Fleming, Jonathon F","Royuela, Ana","Qiao, Chong","Gichoya, Judy Wawira","Hahn-Ketter, Amanda E","Gioia, Gerard A","Manley, Geoffrey","Cernich, Alison","Montejano, Leslie","Ghassemi, Marzyeh","Song, Kedong","Sasané, Rahul","Barr, William B","Gunn, Brett S","Moore, R Davis","Maule, Alexis L","Kenworthy, Tara","McAllister, Thomas","Kuhn, Andrew W","Huang, Shih-Cheng","Treleaven, Julia","Coldren, Rodney L","Beck, A T","Marshall, Cameron","Fluder, Eugene","Linenweber, M R","Mendis, M Dilani","Tarima, Sergey S","Lungren, Matthew P","Conturo, T E","Grossman, Rebecca","Palacios, Eva M","McCrea, Michael A","Slobounov, Semyon","Ghajar, Jamshid","Palmer, Lyle J","Varshney, Kush R","Heaton, Kristin J","Gunstad, John","Cao, Cheng","Kannan, Mary A","Chang, Bolin L","Curio, N","September, Alison V","Daneshvar, Daniel H","Feinberg, Leah","Amalfe, Stephanie","Brousse, Oscar","Cantu, Robert C","Mulatya, Caroline","Maruta, Jun","Chappel, Jessie R","Hammeke, Thomas","Liew, Bernard X W","Müri, René M","Nelson, Lindsay D","Cohen, Paul E","Ghali, William A","Heaviside, Clare","Yengo-Kahn, Aaron M","Bhatnagar, Saurabha","Sufrinko, Alicia M","Walter, Kevin D","Krauzlis, Richard J","Gordon, W A","Sexton, Christopher T","Sun, Wenyu","Kane, Robert L","Margolies, Laurie R","Rajashekar, Umesh","Franettovich Smith, Melinda M","Drury, H A","Putukian, Margot","Steer, R A","Weaver, Lindell K","Dullerud, Natalie","Broglio, Steven P","Barr, William","Pasquina, Paul","Zheng, Dongying","Yi, Paul","Marchetti, Gregory F","Akbudak, E","Pfister, Ted","Newell, Karl","du Coudray, Hugo","Wang, Ryan","Guskiewicz, K M","Spielman, Lisa A","Pierrot-Deseilligny, Charles","Bharti, Beepul","Reif, David M","Tarima, Sergey","Low Choy, Nancy","Raichle, M E","Bleiberg, Joseph","Scopaz, Kristen A","Chan, James","Scott Krayenhoff, E","Rotstein, Andrew H","Echemendia, Ruben","Glauche, V","House, John S","Uchida, Mai","Haller, S","Ivry, Richard B","Wenden, F J","Kimmig, H","Moss, N E","Hosmer, David W","McBride, Russell","Thomas, Danny George","Crawford, S","Ronksley, Paul E","Solomon, Gary S","Banerjee, Imon","Hezghia, Adrienne","Fehr, Shayne D","King, N S","Zhou, Wenxian","Binder, L M","Wade, D T","Oakden-Rayner, Lauren","Cong, Fengyu","Reeves, Dennis","Jost, S","Kelly, Mark P","Synowitz, H","Nowinski, Christopher J","Padhye, Nikhil S","Garrett, W E","Hagel, Brent","Burns, John L","Ashwal, Stephen","McGrath, Neal","Milea, Dan","Li, Chengyun","Kang, Fuli"
"Bursac, Zoran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petersen, Steven E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hatzenbuehler, John R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celi, Leo Anthony",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Khan, Muhanmmad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Martilli, Alberto",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winter, Kathryn P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kontos, Anthony P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lumba-Brown, Angela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kenway, Owain",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
