Gene,Hypothalamus,Pituitary,Gonads,Unnamed: 0,Unnamed: 1,Unnamed: 2
,Female,Male,Female,Male,Female,Male
GnRH-I,116.1 + /− 75.9,142.3 + /− 121.6,0.3 + /− 0.5,1.3 +/− 2.3,0.6 + /− 0.7,1.2 + /− 1.1
GnRH-I-R,2.34 + / 2.67,2.85 +/− 2.75,245.6 +/− 212.4,112.8 +/− 83.76,14.0 +/− 6.7,1.38 + /− 1.09
LH-R,19.0 +/− 11.3,23.03 + /− 12.2,0.9 + /− 0.95,0.38 + /− 0.67,264.45 + /− 77.54,42.59 +/− 39.1
FSH-R,4.02 + /− 4.42,5.13 + /− 2.62,9.4 +/− 3.75,11.5 +/− 5.62,151.59 +/− 80.2,181.0 + /− 51.56
AR,37.7 + /− 13.4,27.8 + /− 13.1,226.6 + /− 121.4,111.1 +/− 72.7,204.1 + /− 62.5,80.3 +/− 23.1
ERα,49.2 +/− 14.0,57.2 + /− 18.6,724.5 +/− 329.3,836 + /− 283.4,166.2 +/− 152.5,64.6 + /− 32.6
ERβ,41.9 +/− 18.7,36.1 + /− 14.5,53.8 + /− 16.5,58.6 + /− 27.9,173.4 + /− 90.5,7.4 + /− 3.9
GnIH,287.8 +/− 148.7,383.2 +/− 510.0,4.0 + /− 3.8,2.9 +/− 3.1,0.1 + /− 0.2,0.7 +/− 0.7
VIP,1.3e + 02 + /− 60.1,1.3e + 02 +/− 98.3,1.19 + /− 1.37,.46 + −0.77,1.3e + 01 + /− 15.6,0 +/− 0
VIP-R,70.78 + /− 18.5,69.2 + /− 24.5,47.3 +/− 141.5,376.35 + /− 134.64,42.3 + /− 17.3,18.8 +/− 7.9
PRL,389.9 +/− 170.4,766.0 +/− 436.7,295840.2 +/− 320026.2,136607.5 +/ − 121634.2,250.9 +/− 95.2,397.9 + /− 45.1
PRL-R,463.0 +/− 141.7,803.4 +/− 558.4,540.4 +/− 143.2,790.85 +/− 204,338.5 +/− 131.8,550.66 + /− 100.7
AVPR1A,117.3 +/− 58.8,98.3 + /− 34.4,202.2 +/− 111.3,362.2 +/− 181.6,19.0 +/− 13.5,3.2 + /− 2.3
AVPR1B,5.4 + /− 5.4,5.4 +/− 3.1,1538.3 + /− 503.5,1900.1 + /− 709.1,3.8 +/− 1.3,2.3 +/− 1.5
MT,264.9 +/− 82.1,206.9 +/− 101.1,173 + /− 39.9,172.78 +/− 60.9,182.11 +/− 265.4,11.1 + /− 2.98
MTR,< 1,< 1,< 1,< 1,< 1,< 1
PGR,50.6 +/− 24.6,51.4 + /− 20.8,874.4 + /− 294.9,216.7 +/− 82.6,1004.6 +/− 1193,126.7 + /− 14.4
CYP19,212.6 + /− 137.5,325.8 +/− 200.2,26.4 + /− 10.3,49.5 + /− 20.2,786.6 +/− 446.2,1.7 +/− 1.3
